#,Configuration,Model,Modules,Augmentation,Scope,mAP_kpt/%,F1/%,Parameters/M,FPS,Det P(%),Det R(%),Det F1(%),Det mAP50(%),Det mAP50-95(%),Pose P(%),Pose R(%),Pose F1(%),Pose mAP50(%),Pose mAP50-95(%),MEA(px),CAR(%),RMSE(%),mean time(ms/img),Parameters,Layers,GFLOPs,Epoch stops,Test Dataset,Image Size,Batch (req),Batch (used),Epochs (max),Learning rate,Patience,Optimizer,vs YOLO11m-Pose (+aug),Run,Status
1,YOLO11m-Pose (no augmentation),YOLO11m-Pose,—,OFF,Weed (class 8),66.8,71.93,20.91,55.1,69.68,58.76,63.76,54.2,32.17,78.72,66.22,71.93,66.8,65.56,10.804,74.98,0.9677,4.81,20909172,247,71.9,46 (early stop; best@36),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,-10.79,yolo11m_srd_abl_a_e150_pat10_imgsz1280,
1,YOLO11m-Pose (no augmentation),YOLO11m-Pose,—,OFF,Overall (9-class macro),73.43,77.93,20.91,65.8,79.76,71.18,75.16,69.64,54.34,82.84,73.68,77.93,73.43,73.1,12.489,76.461,1.148,15.2,20909172,247,71.9,46 (early stop; best@36),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,-15.96,yolo11m_srd_abl_a_e150_pat10_imgsz1280,
2,YOLO11m-Pose (+ augmentation),YOLO11m-Pose,—,ON,Weed (class 8),77.59,78.54,20.91,55.3,83.96,63.87,72.55,70.33,46.34,85.87,72.35,78.54,77.59,77.12,8.874,82.757,0.9202,4.79,20909172,247,71.9,95 (early stop; best@85),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,— (reference),yolo11m_pose_baseline_e150_pat10_imgsz1280,
2,YOLO11m-Pose (+ augmentation),YOLO11m-Pose,—,ON,Overall (9-class macro),89.39,88.48,20.91,65.8,88.44,85.13,86.53,86.19,70.31,88.9,88.41,88.48,89.39,89.2,9.785,85.049,0.9955,15.19,20909172,247,71.9,95 (early stop; best@85),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,— (reference),yolo11m_pose_baseline_e150_pat10_imgsz1280,
3,YOLO11m-Pose + #1,YOLO11m-Pose,#1 (B2 ECA),ON,Weed (class 8),77.51,78.19,21.17,204.1,82.64,65.67,73.19,70.19,46.25,86.29,71.47,78.19,77.51,77.13,8.919,83.293,0.9634,4.9,21171931,255,72.2,89 (early stop; best@79),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,-0.08,yolo11m_pose_b2_eca_e150_pat10_imgsz1280,
3,YOLO11m-Pose + #1,YOLO11m-Pose,#1 (B2 ECA),ON,Overall (9-class macro),89.33,88.69,21.17,84.2,88.04,85.62,86.64,86.41,70.22,89.44,88.24,88.69,89.33,89.08,9.843,85.483,1.0553,11.88,21171931,255,72.2,89 (early stop; best@79),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,-0.06,yolo11m_pose_b2_eca_e150_pat10_imgsz1280,
4,YOLO11m-Pose + #1 + #2,YOLO11m-Pose,#1 + #2,ON,Weed (class 8),77.72,78.54,21.17,198.8,85.48,62.05,71.9,71.0,46.56,86.9,71.65,78.54,77.72,77.3,8.583,83.076,0.8148,5.03,21171931,255,72.2,102 (early stop; best@92),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,+0.13,yolo11m_pose_combo_1_2_e150_pat10_imgsz1280,
4,YOLO11m-Pose + #1 + #2,YOLO11m-Pose,#1 + #2,ON,Overall (9-class macro),88.95,88.23,21.17,83.1,88.69,82.91,85.47,85.84,70.48,89.26,87.5,88.23,88.95,88.56,9.465,85.364,0.9033,12.04,21171931,255,72.2,102 (early stop; best@92),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,-0.44,yolo11m_pose_combo_1_2_e150_pat10_imgsz1280,
5,YOLO11m-Pose + #1 + #2 + #4,YOLO11m-Pose,#1 + #2 + #4,ON,Weed (class 8),79.54,78.69,22.16,191.6,84.65,65.23,73.68,72.11,47.32,87.69,71.36,78.69,79.54,79.17,8.39,85.052,0.7832,5.22,22162907,273,73.0,140 (early stop; best@130),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,+1.95,yolo11m_pose_combo_1_2_4_e150_pat10_imgsz1280,
5,YOLO11m-Pose + #1 + #2 + #4,YOLO11m-Pose,#1 + #2 + #4,ON,Overall (9-class macro),90.74,89.82,22.16,83.7,89.62,86.0,87.59,87.58,72.46,90.95,89.0,89.82,90.74,90.53,9.247,87.224,0.921,11.95,22162907,273,73.0,140 (early stop; best@130),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,+1.35,yolo11m_pose_combo_1_2_4_e150_pat10_imgsz1280,
6,YOLO11m-Pose + PDCA,YOLO11m-Pose,PDCA,ON,Weed (class 8),,,,,,,,,,,,,,,,,,,,,,,CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,—,—,Not trained
6,YOLO11m-Pose + PDCA,YOLO11m-Pose,PDCA,ON,Overall (9-class macro),,,,,,,,,,,,,,,,,,,,,,,CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,—,—,Not trained
7,YOLO11m-Pose + #1 + #2 + #4 + PDCA,YOLO11m-Pose,#1 + #2 + #4 + PDCA,ON,Weed (class 8),80.01,77.81,23.35,180.5,83.94,65.16,73.36,71.72,47.2,88.49,69.43,77.81,80.01,79.52,8.55,85.623,0.8118,5.54,23345115,288,76.7,121 (early stop; best@111),CropsOrWeed9 (test),1280,8,8,150,"lr0=0.01 + ReduceLROnPlateau (p=5, f=0.5)",10,SGD,+2.42,yolo11m_pose_combo_1_2_4_pdca_e150_pat10_imgsz1280,
